species,organ,fcell,weightorgankgBW,MicProtGO,CytosProtGO,CellsGO
human,brain,0.96,22.5,36,50,119
human,gonads,0.88,0.167,36,50,119
human,heart,0.76,5.5,36,50,119
human,kidney,0.57,6.67,36,50,119
human,gut,0.88,18.5,36,50,119
human,liver,0.67,32,36,50,119
human,lung,0.23,15,36,50,119
rat,brain,0.96,7.39,50,50,122
rat,gonads,0.79,10,50,50,122
rat,heart,0.64,3.47,50,50,122
rat,kidney,0.7,10,50,50,122
rat,gut,0.88,31,50,50,122
rat,liver,0.72,43,50,50,122
rat,lung,0.19,4.34,50,50,122
dog,brain,0.96,5.88,50,50,201
dog,gonads,0.79,0.36,50,50,201
dog,heart,0.64,5.1,50,50,201
dog,kidney,0.7,11.7,50,50,201
dog,gut,0.88,17.5,50,50,201
dog,liver,0.72,25,50,50,201
dog,lung,0.19,10.3,50,50,201
